Protein,go_term_type,go_term
O43809,Function,protein homodimerization activity
O43809,Function,RNA binding
Q02318,Function,heme binding
Q02318,Function,iron ion binding
Q02318,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
Q02318,Function,steroid hydroxylase activity
Q16678,Function,aromatase activity
Q16678,Function,heme binding
Q16678,Function,iron ion binding
Q16678,Function,monooxygenase activity
Q16678,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
Q16678,Function,oxygen binding
Q6UW02,Function,heme binding
Q6UW02,Function,iron ion binding
Q6UW02,Function,monooxygenase activity
Q6UW02,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
P10635,Function,aromatase activity
P10635,Function,drug binding
P10635,Function,heme binding
P10635,Function,iron ion binding
P10635,Function,monooxygenase activity
P10635,Function,oxidoreductase activity
P10635,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P10635,Function,steroid hydroxylase activity
P05813,Function,structural constituent of eye lens
Q9NQ79,Function,calcium ion binding
P43320,Function,identical protein binding
P43320,Function,protein homodimerization activity
P43320,Function,structural constituent of eye lens
P43320,Function,structural molecule activity
Q96RY5,Function,chromatin binding
Q96RY5,Function,DNA binding
Q96RY5,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
O94985,Function,amyloid-beta binding
O94985,Function,calcium ion binding
O94985,Function,kinesin binding
O94985,Function,X11-like protein binding
Q8N8Q3,Function,DNA binding
Q8N8Q3,Function,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"
Q8N8Q3,Function,"endoribonuclease activity, producing 5'-phosphomonoesters"
Q8N8Q3,Function,magnesium ion binding
Q8N8Q3,Function,single-stranded RNA binding
Q9H4G1,Function,cysteine-type endopeptidase inhibitor activity
Q5W188,Function,cysteine-type endopeptidase inhibitor activity
Q5W186,Function,cysteine-type endopeptidase inhibitor activity
Q96RT6,Function,lipoprotein transporter activity
Q53GD3,Function,choline transmembrane transporter activity
Q53GD3,Function,thiamine pyrophosphate transmembrane transporter activity
O43310,Function,RNA binding
O43310,Function,translation activator activity
Q8NCS7,Function,choline transmembrane transporter activity
Q8WVB6,Function,ATP binding
Q8WVB6,Function,DNA binding
P26232,Function,actin filament binding
P26232,Function,cadherin binding
P26232,Function,identical protein binding
P26232,Function,structural constituent of cytoskeleton
A4FU28,Function,lipoprotein transporter activity
P29279,Function,fibronectin binding
P29279,Function,growth factor activity
P29279,Function,heparin binding
P29279,Function,insulin-like growth factor binding
P29279,Function,integrin binding
P29279,Function,protein C-terminus binding
P52569,Function,amino acid transmembrane transporter activity
P52569,Function,arginine transmembrane transporter activity
P52569,Function,basic amino acid transmembrane transporter activity
P52569,Function,L-arginine transmembrane transporter activity
P52569,Function,L-lysine transmembrane transporter activity
P52569,Function,L-ornithine transmembrane transporter activity
Q8WZ74,Function,SH3 domain binding
Q7RTX7,Function,calcium activated cation channel activity
Q7RTX7,Function,voltage-gated calcium channel activity
O42043,Function,structural molecule activity
Q69384,Function,structural molecule activity
P61567,Function,structural molecule activity
Q902F8,Function,structural molecule activity
O60494,Function,calcium ion binding
O60494,Function,cargo receptor activity
O60494,Function,channel regulator activity
O60494,Function,cobalamin binding
O60494,Function,drug binding
O60494,Function,hemoglobin binding
O60494,Function,protein homodimerization activity
O60494,Function,signaling receptor activity
O60494,Function,transporter activity
O60888,Function,copper ion binding
O60888,Function,enzyme binding
P06733,Function,cadherin binding
P06733,Function,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
P06733,Function,GTPase binding
P06733,Function,magnesium ion binding
P06733,Function,phosphopyruvate hydratase activity
P06733,Function,protein homodimerization activity
P06733,Function,"proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific"
P06733,Function,RNA binding
P06733,Function,RNA polymerase II regulatory region sequence-specific DNA binding
P39880,Function,"protein binding, bridging"
P39880,Function,protein tyrosine kinase activity
P39880,Function,RNA polymerase II regulatory region sequence-specific DNA binding
P39880,Function,sequence-specific DNA binding
P13929,Function,magnesium ion binding
P13929,Function,phosphopyruvate hydratase activity
P13929,Function,protein heterodimerization activity
P13929,Function,protein homodimerization activity
P09104,Function,magnesium ion binding
P09104,Function,phosphopyruvate hydratase activity
Q02221,Function,cytochrome-c oxidase activity
Q02221,Function,enzyme regulator activity
P14854,Function,cytochrome-c oxidase activity
Q969M2,Function,gap junction channel activity
P48165,Function,channel activity
P48165,Function,gap junction channel activity
P19876,Function,chemokine activity
P08034,Function,gap junction channel activity
P08034,Function,protein homodimerization activity
P80162,Function,chemokine activity
P80162,Function,heparin binding
P02775,Function,chemokine activity
P02775,Function,glucose transmembrane transporter activity
P02775,Function,growth factor activity
O75712,Function,gap junction channel activity
P25025,Function,C-C chemokine binding
P25025,Function,C-C chemokine receptor activity
P25025,Function,C-X-C chemokine receptor activity
P25025,Function,chemokine binding
P25025,Function,G protein-coupled receptor activity
P25025,Function,interleukin-8 binding
P25025,Function,interleukin-8 receptor activity
P61073,Function,actin binding
P61073,Function,C-C chemokine binding
P61073,Function,C-C chemokine receptor activity
P61073,Function,C-X-C chemokine receptor activity
P61073,Function,C-X-C motif chemokine 12 receptor activity
P61073,Function,chemokine binding
P61073,Function,coreceptor activity
P61073,Function,G protein-coupled receptor activity
P61073,Function,myosin light chain binding
P61073,Function,ubiquitin binding
P61073,Function,ubiquitin protein ligase binding
P61073,Function,virus receptor activity
P00167,Function,aldo-keto reductase (NADP) activity
P00167,Function,cytochrome-c oxidase activity
P00167,Function,enzyme binding
P00167,Function,heme binding
P00167,Function,metal ion binding
Q9HB71,Function,protein homodimerization activity
Q9HB71,Function,S100 protein binding
Q9HB71,Function,tubulin binding
Q9HB71,Function,ubiquitin protein ligase binding
P00156,Function,metal ion binding
P00156,Function,protein-containing complex binding
P00156,Function,ubiquinol-cytochrome-c reductase activity
P00403,Function,copper ion binding
P00403,Function,cytochrome-c oxidase activity
Q7Z7K0,Function,metal ion binding
O14548,Function,cytochrome-c oxidase activity
P10632,Function,arachidonic acid epoxygenase activity
P10632,Function,aromatase activity
P10632,Function,caffeine oxidase activity
P10632,Function,estrogen 16-alpha-hydroxylase activity
P10632,Function,heme binding
P10632,Function,iron ion binding
P10632,Function,monooxygenase activity
P10632,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P10632,Function,steroid hydroxylase activity
P51589,Function,"arachidonic acid 11,12-epoxygenase activity"
P51589,Function,"arachidonic acid 14,15-epoxygenase activity"
P51589,Function,arachidonic acid epoxygenase activity
P51589,Function,aromatase activity
P51589,Function,heme binding
P51589,Function,iron ion binding
P51589,Function,linoleic acid epoxygenase activity
P51589,Function,monooxygenase activity
P51589,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P51589,Function,steroid hydroxylase activity
Q96SQ9,Function,arachidonic acid epoxygenase activity
Q96SQ9,Function,aromatase activity
Q96SQ9,Function,heme binding
Q96SQ9,Function,iron ion binding
Q96SQ9,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
Q96SQ9,Function,retinoic acid 4-hydroxylase activity
Q96SQ9,Function,steroid hydroxylase activity
O75462,Function,cytokine binding
O75462,Function,cytokine receptor activity
O75462,Function,protein heterodimerization activity
Q9HC73,Function,cytokine binding
Q9HC73,Function,cytokine receptor activity
P02489,Function,identical protein binding
P02489,Function,metal ion binding
P02489,Function,structural constituent of eye lens
P02489,Function,unfolded protein binding
Q9Y2W7,Function,calcium ion binding
Q9Y2W7,Function,DNA binding
Q9Y2W7,Function,ion channel binding
Q9Y2W7,Function,potassium channel activity
Q9Y2W7,Function,potassium channel regulator activity
Q9Y2W7,Function,"proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific"
Q9Y2W7,Function,RNA polymerase II proximal promoter sequence-specific DNA binding
Q9Y2W7,Function,transcription corepressor activity
Q9Y2W7,Function,voltage-gated ion channel activity
P0DML2,Function,growth factor activity
P0DML2,Function,growth hormone receptor binding
P0DML2,Function,hormone activity
P0DML2,Function,metal ion binding
P50402,Function,actin binding
P50402,Function,beta-tubulin binding
P50402,Function,cadherin binding
P15509,Function,cytokine binding
P15509,Function,cytokine receptor activity
P15509,Function,protein tyrosine kinase activity
P15509,Function,Ras guanyl-nucleotide exchange factor activity
P15509,Function,signaling receptor activity
Q99062,Function,cytokine binding
Q99062,Function,cytokine receptor activity
Q99062,Function,granulocyte colony-stimulating factor binding
Q99062,Function,interleukin-3 binding
Q99062,Function,interleukin-3 receptor activity
Q99062,Function,signaling receptor activity
Q99708,Function,damaged DNA binding
Q99708,Function,double-strand/single-strand DNA junction binding
Q99708,Function,double-stranded DNA binding
Q99708,Function,flap-structured DNA binding
Q99708,Function,identical protein binding
Q99708,Function,RNA polymerase II repressing transcription factor binding
Q99708,Function,single-stranded DNA binding
Q99708,Function,single-stranded DNA endodeoxyribonuclease activity
Q99708,Function,transcription corepressor activity
Q99708,Function,Y-form DNA binding
P35221,Function,actin filament binding
P35221,Function,beta-catenin binding
P35221,Function,cadherin binding
P35221,Function,gamma-catenin binding
P35221,Function,identical protein binding
P35221,Function,protein heterodimerization activity
P35221,Function,RNA binding
P35221,Function,structural molecule activity
P35221,Function,vinculin binding
Q8WWI5,Function,choline transmembrane transporter activity
A4D2H0,Function,lipoprotein transporter activity
Q13618,Function,cyclin binding
Q13618,Function,Notch binding
Q13618,Function,POZ domain binding
Q13618,Function,protein heterodimerization activity
Q13618,Function,protein homodimerization activity
Q13618,Function,ubiquitin protein ligase binding
Q13619,Function,ubiquitin protein ligase binding
Q9NTM9,Function,copper ion binding
O14529,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
O14529,Function,"proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific"
O14529,Function,RNA polymerase II proximal promoter sequence-specific DNA binding
O14529,Function,RNA polymerase II regulatory region sequence-specific DNA binding
O14529,Function,sequence-specific DNA binding
P19875,Function,chemokine activity
P42830,Function,chemokine activity
P42830,Function,identical protein binding
P32302,Function,C-C chemokine binding
P32302,Function,C-C chemokine receptor activity
P32302,Function,C-X-C chemokine receptor activity
P32302,Function,chemokine binding
P32302,Function,G protein-coupled receptor activity
O43927,Function,CCR10 chemokine receptor binding
O43927,Function,chemokine activity
O43927,Function,CXCR3 chemokine receptor binding
O43927,Function,CXCR5 chemokine receptor binding
O43927,Function,fibroblast growth factor binding
O43927,Function,heparin binding
O43927,Function,protein heterodimerization activity
O43927,Function,receptor ligand activity
O95715,Function,chemokine activity
P49447,Function,ferric-chelate reductase activity
P49447,Function,metal ion binding
P49447,Function,oxidoreductase activity
P04839,Function,flavin adenine dinucleotide binding
P04839,Function,heme binding
P04839,Function,metal ion binding
P04839,Function,protein heterodimerization activity
P04839,Function,superoxide-generating NADPH oxidase activity
P04839,Function,voltage-gated ion channel activity
Q53TN4,Function,ferric-chelate reductase activity
Q53TN4,Function,metal ion binding
Q53TN4,Function,oxidoreductase activity
Q53TN4,Function,"oxidoreductase activity, oxidizing metal ions"
O95674,Function,phosphatidate cytidylyltransferase activity
Q2WEN9,Function,identical protein binding
Q03701,Function,DNA binding
Q03701,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q03701,Function,"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"
Q03701,Function,RNA binding
Q03701,Function,RNA polymerase II proximal promoter sequence-specific DNA binding
Q9HCU4,Function,calcium ion binding
Q9HCU4,Function,G protein-coupled receptor activity
Q16739,Function,ceramide glucosyltransferase activity
Q16739,Function,dihydroceramide glucosyltransferase activity
P07199,Function,centromeric DNA binding
P07199,Function,chromatin binding
P07199,Function,satellite DNA binding
P07199,Function,sequence-specific DNA binding
Q9NYQ6,Function,calcium ion binding
Q9NYQ6,Function,G protein-coupled receptor activity
Q9NYQ6,Function,protein dimerization activity
Q9NYQ6,Function,transmembrane signaling receptor activity
O15182,Function,calcium ion binding
O15182,Function,microtubule binding
Q8N6G5,Function,acetylgalactosaminyltransferase activity
Q8N6G5,Function,glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
Q8N6G5,Function,glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity
Q8N6G5,Function,metal ion binding
P61604,Function,ATP binding
P61604,Function,chaperone binding
P61604,Function,metal ion binding
P61604,Function,RNA binding
P61604,Function,unfolded protein binding
P09622,Function,dihydrolipoyl dehydrogenase activity
P09622,Function,electron transfer activity
P09622,Function,flavin adenine dinucleotide binding
P09622,Function,lipoamide binding
P09622,Function,NAD binding
Q12873,Function,ATP binding
Q12873,Function,ATP-dependent DNA helicase activity
Q12873,Function,DNA binding
Q12873,Function,helicase activity
Q12873,Function,histone deacetylase activity
Q12873,Function,RNA binding
Q12873,Function,zinc ion binding
Q8TBE1,Function,channel regulator activity
Q8IV77,Function,cAMP binding
Q8IV77,Function,cGMP binding
Q8IV77,Function,intracellular cAMP-activated cation channel activity
Q8IV77,Function,intracellular cGMP-activated cation channel activity
Q9P003,Function,CCR5 chemokine receptor binding
Q14028,Function,cAMP binding
Q14028,Function,cGMP binding
Q14028,Function,intracellular cAMP-activated cation channel activity
Q14028,Function,intracellular cGMP-activated cation channel activity
Q14028,Function,ligand-gated ion channel activity
P04440,Function,peptide antigen binding
P51911,Function,actin binding
P51911,Function,calmodulin binding
Q9BV87,Function,protein kinase binding
O95628,Function,metal ion binding
O95628,Function,RNA binding
O95628,Function,ubiquitin-protein transferase activity
P21554,Function,cannabinoid receptor activity
P21554,Function,drug binding
P21554,Function,voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels
Q9UHC6,Function,enzyme binding
Q9UFF9,Function,3'-5'-exoribonuclease activity
Q9UFF9,Function,DNA-binding transcription factor activity
Q9UFF9,Function,metal ion binding
Q9UFF9,Function,poly(A)-specific ribonuclease activity
Q9UFF9,Function,RNA binding
Q92600,Function,epidermal growth factor receptor binding
Q92600,Function,kinase binding
Q92600,Function,protein domain specific binding
Q92600,Function,protein homodimerization activity
Q8N137,Function,protein domain specific binding
Q7Z7A1,Function,protein tyrosine kinase activity
Q9BZG8,Function,transferase activity
P07358,Function,protein-containing complex binding
P01024,Function,C5L2 anaphylatoxin chemotactic receptor binding
P01024,Function,endopeptidase inhibitor activity
P01024,Function,serine-type endopeptidase activity
P01024,Function,signaling receptor binding
Q14055,Function,extracellular matrix structural constituent
Q14055,Function,extracellular matrix structural constituent conferring tensile strength
P12109,Function,extracellular matrix structural constituent conferring tensile strength
P12109,Function,platelet-derived growth factor binding
P12111,Function,extracellular matrix structural constituent conferring tensile strength
P12111,Function,serine-type endopeptidase inhibitor activity
A8TX70,Function,extracellular matrix structural constituent conferring tensile strength
A6NMZ7,Function,extracellular matrix structural constituent conferring tensile strength
Q9H2P9,Function,diphthine synthase activity
O60762,Function,dolichyl-phosphate beta-D-mannosyltransferase activity
O60762,Function,dolichyl-phosphate-mannose-protein mannosyltransferase activity
O94777,Function,enzyme regulator activity
Q9H8M1,Function,ubiquinone binding
Q10570,Function,enzyme binding
Q10570,Function,mRNA 3'-UTR AU-rich region binding
Q8TEY5,Function,cAMP response element binding
Q8TEY5,Function,"DNA-binding transcription activator activity, RNA polymerase II-specific"
Q8TEY5,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q7Z7G2,Function,SNARE binding
Q7Z7G2,Function,syntaxin binding
Q07973,Function,"1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity"
Q07973,Function,25-hydroxycholecalciferol-24-hydroxylase activity
Q07973,Function,heme binding
Q07973,Function,iron ion binding
Q07973,Function,oxidoreductase activity
Q2VPK5,Function,nucleotidyltransferase activity
Q2VPK5,Function,sulfurtransferase activity
Q2VPK5,Function,tRNA binding
Q13616,Function,ubiquitin protein ligase binding
Q13616,Function,ubiquitin-protein transferase activity
Q8IWT3,Function,ATP binding
Q8IWT3,Function,metal ion binding
Q8IWT3,Function,transferase activity
Q8IWT3,Function,ubiquitin protein ligase binding
Q7L5Y1,Function,isomerase activity
Q7L5Y1,Function,L-fuconate dehydratase activity
Q7L5Y1,Function,magnesium ion binding
Q9UHY7,Function,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"
Q9UHY7,Function,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
Q9UHY7,Function,acireductone synthase activity
Q9UHY7,Function,magnesium ion binding
Q16206,Function,nucleic acid binding
Q16206,Function,protein disulfide oxidoreductase activity
P49238,Function,C-C chemokine binding
P49238,Function,C-C chemokine receptor activity
P49238,Function,C-X3-C chemokine binding
P49238,Function,C-X3-C chemokine receptor activity
P49238,Function,chemokine binding
P49238,Function,chemokine receptor activity
P49238,Function,G protein-coupled peptide receptor activity
P49238,Function,G protein-coupled receptor activity
P12074,Function,cytochrome-c oxidase activity
P12074,Function,enzyme regulator activity
P24310,Function,cytochrome-c oxidase activity
P14406,Function,cytochrome-c oxidase activity
P17302,Function,gap junction channel activity
P17302,Function,gap junction channel activity involved in cardiac conduction electrical coupling
P17302,Function,gap junction channel activity involved in cell communication by electrical coupling
P17302,Function,ion transmembrane transporter activity
P36382,Function,connexin binding
P36382,Function,disordered domain specific binding
P36382,Function,gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling
P36382,Function,gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling
P36382,Function,gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling
P36382,Function,gap junction channel activity involved in cardiac conduction electrical coupling
P36382,Function,gap junction channel activity involved in Purkinje myocyte-ventricular cardiac muscle cell electrical coupling
P36382,Function,gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling
P36382,Function,gap junction hemi-channel activity
P78310,Function,beta-catenin binding
P78310,Function,cell adhesion molecule binding
P78310,Function,cell adhesive protein binding involved in AV node cell-bundle of His cell communication
P78310,Function,connexin binding
P78310,Function,identical protein binding
P78310,Function,integrin binding
P78310,Function,PDZ domain binding
P78310,Function,signaling receptor binding
P78310,Function,virus receptor activity
Q6PEY0,Function,gap junction channel activity
P29033,Function,gap junction channel activity
P29033,Function,identical protein binding
Q8N144,Function,gap junction channel activity
Q8N144,Function,ion channel activity
O14625,Function,chemokine activity
O14625,Function,CXCR3 chemokine receptor binding
O14625,Function,heparin binding
P49682,Function,C-C chemokine binding
P49682,Function,C-C chemokine receptor activity
P49682,Function,C-X-C chemokine binding
P49682,Function,C-X-C chemokine receptor activity
P49682,Function,chemokine binding
P49682,Function,chemokine receptor activity
P49682,Function,signaling receptor activity
Q7LFL8,Function,sequence-specific DNA binding
Q7LFL8,Function,transcription factor binding
Q7LFL8,Function,zinc ion binding
Q9P0U4,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q9P0U4,Function,proximal promoter sequence-specific DNA binding
Q9P0U4,Function,unmethylated CpG binding
Q9P0U4,Function,zinc ion binding
P13498,Function,electron transfer activity
P13498,Function,heme binding
P13498,Function,metal ion binding
P13498,Function,protein heterodimerization activity
P13498,Function,SH3 domain binding
P13498,Function,superoxide-generating NADPH oxidase activity
O43169,Function,heme binding
O43169,Function,metal ion binding
P99999,Function,"electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity"
P99999,Function,heme binding
P99999,Function,metal ion binding
Q9NQC7,Function,Lys48-specific deubiquitinase activity
Q9NQC7,Function,Lys63-specific deubiquitinase activity
Q9NQC7,Function,proline-rich region binding
Q9NQC7,Function,protein kinase binding
Q9NQC7,Function,thiol-dependent ubiquitin-specific protease activity
Q9NQC7,Function,thiol-dependent ubiquitinyl hydrolase activity
Q9NQC7,Function,zinc ion binding
Q86UY5,Function,phosphatidylinositol 3-kinase regulatory subunit binding
Q86UY5,Function,protein kinase binding
Q5TA50,Function,ceramide 1-phosphate binding
Q5TA50,Function,ceramide 1-phosphate transporter activity
Q5TA50,Function,intermembrane lipid transfer activity
Q5TA50,Function,lipid binding
Q5TA50,Function,phospholipid binding
Q5TA50,Function,phospholipid transporter activity
Q9UNU6,Function,7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity
Q9UNU6,Function,heme binding
Q9UNU6,Function,iron ion binding
Q9UNU6,Function,oxygen binding
Q9UNU6,Function,sterol 12-alpha-hydroxylase activity
P33261,Function,arachidonic acid epoxygenase activity
P33261,Function,enzyme binding
P33261,Function,heme binding
P33261,Function,iron ion binding
P33261,Function,monooxygenase activity
P33261,Function,oxidoreductase activity
P33261,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P33261,Function,oxygen binding
P33261,Function,steroid hydroxylase activity
P11509,Function,arachidonic acid epoxygenase activity
P11509,Function,coumarin 7-hydroxylase activity
P11509,Function,enzyme binding
P11509,Function,heme binding
P11509,Function,iron ion binding
P11509,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P11509,Function,steroid hydroxylase activity
O14810,Function,neurotransmitter transporter activity
O14810,Function,SNARE binding
O14810,Function,syntaxin-1 binding
Q8N436,Function,metallocarboxypeptidase activity
Q8N436,Function,zinc ion binding
Q8IZJ3,Function,serine-type endopeptidase inhibitor activity
Q9Y4K1,Function,carbohydrate binding
Q9Y262,Function,RNA binding
Q9Y262,Function,translation initiation factor activity
Q96D31,Function,calmodulin binding
Q96D31,Function,identical protein binding
Q96D31,Function,store-operated calcium channel activity
Q8TCG5,Function,carnitine O-palmitoyltransferase activity
P23508,Function,signaling receptor activity
Q8IUH2,Function,cofactor binding
Q494W8,Function,acetylcholine binding
Q494W8,Function,extracellular ligand-gated ion channel activity
Q494W8,Function,transmembrane signaling receptor activity
P02741,Function,calcium ion binding
P02741,Function,choline binding
P02741,Function,complement component C1q binding
P02741,Function,identical protein binding
P02741,Function,low-density lipoprotein particle binding
P02741,Function,low-density lipoprotein particle receptor binding
